time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
897600,-1.6255002075217e-05,1.9913660365992e-05,-3.6586582907747e-06,3,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-12.178287437395,7.5290447711384,-8.5949161391757
898800,-1.6257937072222e-05,1.9918318914815e-05,-3.6603818425931e-06,3,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-14.435783098803,13.46716058496,-5.4698463885854
900000,-1.6295417058008e-05,1.9963693996285e-05,-3.6682769382766e-06,3,-5.6566662601111e-09,6.4280210924566e-09,-7.7135483234547e-10,-16.69214119356,19.547860288336,-2.20457808813
916800,-1.681636372299e-05,2.0594063106219e-05,-3.7776993832294e-06,2,-5.8697301464107e-09,6.6716996441779e-09,-8.0196949776723e-10,-16.692399786643,19.586201531817,-2.2010110903984
933600,-1.7333657645416e-05,2.121969741675e-05,-3.8860397713343e-06,2,-6.0834602806979e-09,6.9162421698133e-09,-8.3278188911539e-10,-16.692065321302,19.626007497651,-2.1962214141227
950400,-1.7847364143842e-05,2.184068418825e-05,-3.993320044408e-06,2,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-16.691731776002,19.665718198547,-2.1914497932545
951600,-1.7850202627891e-05,2.1845186817737e-05,-3.9949841898458e-06,3,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-14.435744370781,13.587955807633,-5.4571788013358
952800,-1.785027470298e-05,2.184552079677e-05,-3.9952460937902e-06,3,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-12.17802364686,7.6507351646421,-8.5819572461076
954000,-1.7850189706006e-05,2.1845589562664e-05,-3.995399856658e-06,3,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-9.9191723627726,1.8530299713418,-11.56704047818
963600,-1.784950988487e-05,2.1846139684098e-05,-3.996629799228e-06,1,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-9.9188632293451,1.8539979252756,-11.566229285844
973200,-1.7848830153049e-05,2.1846689874578e-05,-3.997859721529e-06,1,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-9.9188555466037,1.8548773481868,-11.565977046267
982800,-1.7848150510263e-05,2.1847240134032e-05,-3.9990896237682e-06,1,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-9.91884803552,1.8557758090127,-11.565721959202
984000,-1.7848222732958e-05,2.1847574453534e-05,-3.9993517205757e-06,3,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-12.177215339299,7.6556606670191,-8.5794785861259
985200,-1.785106405124e-05,2.1852080988885e-05,-4.0010169376446e-06,3,-6.2978564796095e-09,7.1616487333506e-09,-8.6379225374113e-10,-14.434739767365,13.593703144938,-5.454322732495
986400,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,3,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,-16.691100386258,19.673905648984,-2.1891178874504
993600,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,4,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,-10.671351748828,73.1633098258,58.423549883888
1000800,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,3,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,-4.9633286566989,90.116202001184,82.363656825499
1008000,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,3,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,0.19214675863075,40.68086035129,39.683329277711
1038000,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,1,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,0.2016648368591,40.691452782741,39.697157066544
1068000,-1.7887761542434e-05,2.1896438905631e-05,-4.0086773631971e-06,1,-6.3131797955157e-09,7.1791892690175e-09,-8.6600947350172e-10,0.20169146749527,40.691488338354,39.697103020521
